DATE;ENER_RUC_FRST5,16;ENER_RUC_FRST6,16;ENER_RUC_FRST7,16;ENER_RUC_FRST8,16;ENER_RUC_CHST5,16;ENER_RUC_CHST6,16;ENER_RUC_CHST7,16;ENER_RUC_CHST8,16;ENER_RUC_REF,16      
170601230000399;41262;18552;14905;15177;21744;27834;36627;39691;2564
170602230001000;41271;18559;14913;15183;21744;27834;36627;39691;2565
170603230000535;41273;18560;14914;15183;21744;27834;36627;39691;2567
170604230000098;41275;18561;14915;15184;21744;27834;36627;39691;2568
170605230000655;41277;18562;14916;15185;21744;27834;36627;39691;2569
170606230000196;41282;18566;14920;15187;21744;27834;36627;39691;2571
170607230000606;41287;18570;14924;15189;21744;27834;36627;39691;2572
170608230000182;41292;18575;14929;15193;21744;27834;36627;39691;2573
170609230000748;41297;18580;14935;15196;21744;27834;36627;39691;2575
170610230000327;41300;18581;14936;15197;21744;27834;36627;39691;2576
170611230000951;41302;18582;14938;15198;21744;27834;36627;39691;2577
