DATE;ENER_RUC_FRST5,16;ENER_RUC_FRST6,16;ENER_RUC_FRST7,16;ENER_RUC_FRST8,16;ENER_RUC_CHST5,16;ENER_RUC_CHST6,16;ENER_RUC_CHST7,16;ENER_RUC_CHST8,16;ENER_RUC_REF,16      
171101230000511;41953;19047;15399;15516;21806;27919;36715;39787;2714
171102230000078;41955;19048;15400;15518;21810;27926;36722;39795;2714
171103230000665;41958;19050;15400;15519;21812;27930;36725;39800;2714
171104230000229;41959;19050;15400;15519;21813;27930;36725;39800;2714
171105230000715;41961;19050;15401;15519;21813;27930;36726;39800;2714
171106230000241;41963;19052;15401;15521;21819;27938;36733;39812;2714
171107230000788;41967;19054;15402;15523;21827;27947;36746;39827;2714
171108230000309;41970;19056;15402;15525;21834;27955;36758;39838;2714
171109230000874;41973;19058;15403;15527;21839;27961;36767;39847;2714
171110230000435;41976;19060;15404;15528;21843;27966;36774;39853;2714
171111230000966;41978;19060;15404;15528;21843;27966;36774;39853;2714
171112230000490;41979;19060;15404;15528;21843;27966;36775;39853;2714
171113230000040;41982;19062;15405;15530;21850;27974;36786;39864;2714
