DATE;ENER_RUC_FRST5,16;ENER_RUC_FRST6,16;ENER_RUC_FRST7,16;ENER_RUC_FRST8,16;ENER_RUC_CHST5,16;ENER_RUC_CHST6,16;ENER_RUC_CHST7,16;ENER_RUC_CHST8,16;ENER_RUC_REF,16      
170517230000465;41188;18509;14852;15130;21740;27827;36615;39681;2542
170518230000809;41193;18512;14857;15133;21740;27828;36617;39683;2544
170519230000108;41197;18515;14861;15136;21742;27831;36621;39687;2545
170520230000411;41200;18515;14861;15137;21742;27831;36621;39687;2546
170521230000729;41202;18516;14862;15137;21742;27831;36621;39687;2547
170522230000023;41207;18519;14867;15141;21743;27832;36623;39688;2549
170523230000342;41213;18522;14872;15146;21743;27833;36625;39690;2550
170524230000654;41219;18526;14878;15150;21744;27834;36627;39691;2552
170525230000955;41221;18526;14878;15151;21744;27834;36627;39691;2553
170526230000268;41223;18527;14879;15152;21744;27834;36627;39691;2555
170527230000577;41226;18527;14880;15153;21744;27834;36627;39691;2556
170528230000888;41228;18527;14881;15154;21744;27834;36627;39691;2557
170529230000191;41239;18533;14882;15161;21744;27834;36627;39691;2559
170530230000222;41247;18539;14886;15166;21744;27834;36627;39691;2561
170531230000803;41254;18545;14896;15171;21744;27834;36627;39691;2562
