DATE;ENER_RUC_FRST5,16;ENER_RUC_FRST6,16;ENER_RUC_FRST7,16;ENER_RUC_FRST8,16;ENER_RUC_CHST5,16;ENER_RUC_CHST6,16;ENER_RUC_CHST7,16;ENER_RUC_CHST8,16;ENER_RUC_REF,16      
171218230000302;42086;19097;15416;15552;22060;28211;37110;40148;2714
171219230000359;42089;19097;15416;15553;22069;28222;37126;40158;2714
171220230000994;42092;19098;15416;15554;22075;28232;37139;40166;2714
171221230000997;42095;19099;15416;15554;22081;28239;37150;40173;2714
171222230000989;42098;19101;15416;15555;22087;28247;37160;40180;2714
171223230000985;42100;19101;15416;15555;22088;28249;37164;40185;2714
171224230000983;42102;19101;15416;15555;22090;28252;37168;40190;2714
171225230001000;42104;19102;15416;15555;22092;28255;37173;40196;2714
171226230000981;42106;19102;15416;15555;22095;28258;37177;40202;2714
171227230000983;42108;19102;15416;15555;22096;28261;37182;40207;2714
171228230000995;42110;19102;15416;15555;22098;28264;37186;40211;2714
171229230000995;42112;19103;15416;15555;22100;28267;37191;40215;2714
171230230000982;42114;19103;15416;15555;22101;28269;37194;40218;2714
171231230001000;42116;19103;15416;15555;22103;28272;37198;40221;2714
