DATE,"ENER_RUC_FRST5,16","ENER_RUC_FRST6,16","ENER_RUC_FRST7,16","ENER_RUC_FRST8,16","ENER_RUC_CHST5,16","ENER_RUC_CHST6,16","ENER_RUC_CHST7,16","ENER_RUC_CHST8,16","ENER_RUC_REF,16"
171202230000974,42042,19088,15416,15551,21955,28090,36954,40020,2714
171203230000599,42044,19089,15416,15551,21960,28098,36965,40033,2714
171204230000223,42047,19089,15416,15551,21968,28107,36978,40044,2714
171205230000853,42051,19090,15416,15551,21976,28116,36990,40052,2714
171206230000494,42054,19091,15416,15551,21983,28124,37002,40060,2714
171207230000477,42057,19091,15416,15551,21991,28133,37015,40071,2714
171208230000062,42061,19092,15416,15551,21999,28142,37028,40080,2714
171209230000700,42063,19092,15416,15551,22003,28145,37032,40081,2714
171210230000307,42065,19092,15416,15551,22006,28146,37032,40082,2714
171211230000937,42068,19093,15416,15551,22013,28154,37037,40088,2714
171212230000535,42071,19093,15416,15551,22022,28163,37046,40097,2714
171213230000152,42073,19094,15416,15551,22029,28170,37055,40103,2714
171214230000773,42076,19094,15416,15551,22037,28180,37068,40114,2714
171215230000381,42079,19095,15416,15551,22044,28190,37083,40124,2714
171216230001002,42081,19096,15416,15551,22048,28196,37090,40131,2714
171217230000636,42083,19096,15416,15551,22053,28201,37097,40139,2714
170517230000465,41188,18509,14852,15130,21740,27827,36615,39681,2542
170518230000809,41193,18512,14857,15133,21740,27828,36617,39683,2544
170519230000108,41197,18515,14861,15136,21742,27831,36621,39687,2545
170520230000411,41200,18515,14861,15137,21742,27831,36621,39687,2546
170521230000729,41202,18516,14862,15137,21742,27831,36621,39687,2547
170522230000023,41207,18519,14867,15141,21743,27832,36623,39688,2549
170523230000342,41213,18522,14872,15146,21743,27833,36625,39690,2550
170524230000654,41219,18526,14878,15150,21744,27834,36627,39691,2552
170525230000955,41221,18526,14878,15151,21744,27834,36627,39691,2553
170526230000268,41223,18527,14879,15152,21744,27834,36627,39691,2555
170527230000577,41226,18527,14880,15153,21744,27834,36627,39691,2556
170528230000888,41228,18527,14881,15154,21744,27834,36627,39691,2557
170529230000191,41239,18533,14882,15161,21744,27834,36627,39691,2559
170530230000222,41247,18539,14886,15166,21744,27834,36627,39691,2561
170531230000803,41254,18545,14896,15171,21744,27834,36627,39691,2562
171114230000896,41985,19064,15406,15532,21856,27982,36798,39876,2714
171115230000485,41988,19066,15406,15533,21861,27989,36807,39885,2714
171116230000074,41991,19068,15407,15535,21866,27995,36816,39894,2714
171117230000676,41995,19070,15408,15537,21872,28002,36825,39902,2714
171118230000283,41997,19071,15408,15537,21874,28004,36828,39905,2714
171119230000879,41999,19071,15408,15537,21876,28007,36831,39907,2714
171120230000519,42003,19072,15409,15539,21884,28015,36842,39917,2714
171121230000146,42006,19074,15410,15540,21890,28022,36852,39924,2714
171122230000797,42010,19077,15411,15542,21896,28027,36861,39930,2714
171123230000412,42014,19079,15412,15544,21900,28032,36869,39935,2714
171124230000049,42018,19081,15413,15546,21905,28037,36878,39941,2714
171125230000674,42020,19081,15413,15546,21908,28040,36881,39943,2714
171126230000284,42022,19081,15413,15546,21912,28043,36886,39945,2714
171127230000899,42025,19083,15414,15547,21920,28049,36894,39956,2714
171128230000520,42029,19084,15415,15549,21926,28055,36902,39966,2714
171129230000094,42032,19086,15415,15551,21934,28063,36915,39978,2714
171130230000733,42036,19087,15416,15551,21942,28073,36929,39992,2714
180101230000996,42118,19103,15416,15555,22105,28275,37203,40224,2714
180102230000991,42120,19104,15416,15556,22113,28286,37215,40234,2714
180103230001002,42123,19104,15416,15556,22121,28297,37227,40242,2714
180104230000989,42125,19105,15416,15557,22127,28305,37237,40248,2714
180105230000997,42128,19106,15416,15557,22134,28314,37248,40256,2714
180106230000986,42130,19107,15416,15557,22135,28317,37252,40261,2714
180107230000996,42132,19107,15416,15557,22137,28320,37257,40265,2714
180108230000994,42135,19108,15416,15558,22145,28330,37269,40274,2714
180109230000987,42138,19109,15416,15559,22153,28340,37281,40283,2714
180110230000996,42141,19111,15416,15560,22160,28348,37292,40292,2714
180111230000997,42144,19113,15416,15561,22167,28357,37303,40301,2714
180112230000996,42147,19115,15416,15562,22174,28366,37315,40310,2714
180113230000995,42149,19115,15416,15562,22179,28370,37321,40316,2714
180114230001013,42151,19115,15416,15562,22183,28373,37325,40322,2714
180115230001005,42154,19116,15416,15563,22189,28382,37336,40333,2714
180116230000989,42157,19117,15416,15565,22195,28390,37346,40344,2714
180117230000985,42160,19119,15416,15566,22201,28400,37358,40357,2714
180118230001000,42163,19121,15416,15567,22206,28408,37368,40368,2714
180119230001007,42166,19122,15416,15569,22212,28417,37379,40379,2714
180120230000985,42168,19123,15416,15569,22214,28421,37385,40386,2714
180121230000996,42170,19123,15416,15569,22216,28424,37389,40391,2714
180122230000981,42172,19124,15416,15570,22221,28432,37400,40401,2714
180123230001000,42175,19126,15416,15571,22227,28440,37410,40411,2714
180124230000992,42178,19127,15416,15572,22232,28446,37419,40419,2714
180125230000981,42182,19129,15416,15573,22238,28454,37429,40429,2714
180126230000991,42185,19131,15419,15575,22244,28462,37440,40439,2714
180127230000989,42187,19131,15419,15575,22248,28467,37446,40447,2714
180128230000998,42189,19131,15419,15575,22250,28469,37451,40452,2714
180129230000993,42192,19133,15424,15576,22256,28478,37462,40463,2714
180130230000986,42195,19135,15428,15577,22262,28486,37473,40472,2714
180131230001016,42198,19136,15433,15578,22268,28494,37484,40483,2715
170401230000385,41088,18437,14793,15069,21689,27751,36483,39539,2540
170402230000051,41089,18437,14793,15070,21689,27751,36484,39540,2540
170403230000727,41093,18441,14797,15072,21690,27754,36489,39544,2540
170404230000378,41097,18445,14800,15075,21693,27758,36494,39549,2540
170405230000045,41100,18449,14804,15077,21695,27762,36502,39557,2541
170406230000767,41104,18453,14806,15080,21697,27765,36509,39564,2541
170407230000401,41107,18456,14809,15082,21697,27766,36513,39568,2541
170408230000073,41109,18456,14809,15083,21697,27766,36513,39568,2541
170409230000728,41111,18457,14810,15083,21697,27766,36513,39568,2541
