,HIS_DATE ,CIM_ENER_SS_FR,CIM_ENER_SS_CH,PEV_ENER_SS_FR,PEV_ENER_SS_CH,RUS_ENER_SS_FR_1,RUS_ENER_SS_FR_2,RUS_ENER_SS_FR_3,RUS_ENER_SS_FR_4,RUN_ENER_SS_FR_5,RUN_ENER_SS_FR_6,RUN_ENER_SS_FR_7,RUN_ENER_SS_FR_8,RUS_ENER_SS_CH_1,RUS_ENER_SS_CH_2,RUS_ENER_SS_CH_3,RUS_ENER_SS_CH_4,RUN_ENER_SS_CH_5,RUN_ENER_SS_CH_6,RUN_ENER_SS_CH_7,AM1_ENER_SS_FR,AM2_ENER_SS_FR,AM1_ENER_SS_CH,AM2_ENER_SS_CH,LOG_ENER_SS_FR,LOG_ENER_SS_CH,GRD_ENER_SS_FR_G,GRD_ENER_SS_FR_I,GRD_ENER_SS_CH_G,GRD_ENER_SS_CH_I,CRP_ENER_SS_FR,CRP_ENER_SS_CH,RES_ENER_SS_FR,RES_ENER_SS_CH,PCE_ENER_SS_CH,UTI_ENER_EG_TCR,UTI_ENER_EC_TCR,RUN_ENER_SS_CH_8
11,2018-08-23,6.95241436175,0.0070044255699,3.3581,0.0,3.0594090493,5.60771530118,3.83496404144,6.69536568964,7.56927526783,6.96637207562,0.0,4.53471574541,4.45759360446e-06,0.0098366640741,0.00356793025276,0.0,0.00296512503337,4.15224640165e-05,0.000271161770797,5.08525336906,7.58571869196,0.0,0.0303987319785,1.08,0.0,5.33651745119,5.86423115444,0.0,0.0128350700688,2.72511676575,0.0,0.349525683909,0.00128426339461,0.00238326134968,127.370518065,0.0,0.0
12,2018-08-22,5.8633450341,0.00645184423774,2.62603333333,0.0,3.40329805658,5.96731489754,4.10491444064,6.95051341216,7.99084413362,7.81973576489,0.0,4.97735061086,2.20119181904e-06,0.0101068472868,0.00328545900993,0.0,0.00284527090844,3.46337983501e-05,0.000278226521914,4.08210309967,7.487802098,0.0,0.0350276133977,0.92,0.0,4.30148416874,4.87003675973,0.0,0.0126216550925,2.45464849401,0.0,0.0230787506052,0.0011048153176,0.0025948772527,126.574842825,0.0,0.0
13,2018-08-21,7.66102837151,0.00655638211174,2.9309,0.0,0.0,0.351795543982,0.430682325754,0.514979177915,2.19289971007,0.935189858112,0.0,0.0,2.66277857008e-06,0.0100892291666,0.00320802908391,0.0,0.00299423325487,2.49515724136e-05,0.000290901516564,4.05074970424,7.85239895153,0.0,0.0509306344611,0.64,0.0,3.32957728553,4.25944836081,0.0,0.0128007687454,1.68219971069,0.0,0.0427607715028,0.00112297146143,0.00247257138108,76.0444005514,0.0,0.0
14,2018-07-10,9.85753209826,0.00570285780123,4.13181666667,0.0,0.0,2.26759055705,0.475949909509,2.07775803159,1.80311423776,1.21953146383,0.00394928052629,0.0,4.2985266191e-07,0.012784476261,0.00419942094595,0.0,0.00193187788682,2.40309673245e-05,0.000263753347099,13.7679786943,8.52359795132,0.0,0.0537018348259,0.98,0.0,5.24867440035,7.86942702485,0.0,0.0125890357158,2.61878735437,0.0,0.0,0.0011365988131,0.00300573433924,106.127091256,0.0,0.0
15,2018-07-11,9.16029448726,0.0045576611592,4.26526666667,0.0,5.36560849991,7.9755177189,6.4822544134,9.85837154941,9.99571693508,9.32586889407,0.17980295199,6.12733437511,3.49080073647e-06,0.0128826951477,0.0046265189012,0.0,0.00202828241891,2.73108089459e-05,0.000237895175815,11.735436596,8.27111498579,0.0,0.0417995646349,1.25,0.0,8.48935347257,8.30361448487,0.0,0.012415774072,3.53555192005,0.0,0.0,0.000781785548725,0.00314211350451,161.403967323,0.0,0.0
16,2018-07-12,5.30494515267,0.00429082196206,3.2557,0.0,3.58540098125,6.58564024096,5.35195943943,7.92685382282,8.57465418662,8.17780993408,0.0807532360268,5.2927348043,1.57804970513e-06,0.0128049606574,0.0046412468073,0.0,0.00287702891001,3.08561429847e-05,0.000192804989638,7.962817844,7.70033004777,0.0,0.0397480305473,0.93,0.0,6.08362018372,6.03480319136,0.0,0.012784027931,2.58803909291,0.0,0.0,0.000881111330955,0.00311828155282,131.943129635,0.0,0.0
17,2018-07-13,4.67967996086,0.00532353905146,2.39128333333,0.0,2.90659865077,5.48396318599,4.49391180087,6.71049864309,6.71123420083,7.12507924599,0.180197355599,4.54734211471,8.57180566527e-06,0.0127998695607,0.00432572953287,0.0,0.00281805090344,2.84363122773e-05,0.000229976110859,5.16137169674,7.29837042948,0.0,0.0924613447569,0.75,0.0,4.22615145255,4.09185524801,0.0,0.0128476276877,2.12079619497,0.0,0.0,0.000821458415089,0.00262494621165,113.094297228,0.0,0.0
18,2018-07-14,6.71212388707,0.00529371362063,3.38433333333,0.0,3.73425546071,5.88489352757,4.92835249273,6.91524175884,7.4188310295,7.30209999706,0.166221207404,4.719103607,3.84559461963e-06,0.0101305227217,0.00347377709113,0.0,0.00273638942599,4.19034040533e-05,0.000160482275533,0.293782480061,7.04451796623,0.0,0.0843363352687,0.58,0.0,5.30392936178,4.87041483972,0.0,0.0128760939842,2.73533807814,0.0,0.0,0.00104874667477,0.00251346482219,122.958601023,0.0,0.0
19,2018-07-15,7.90839119273,0.00476246722974,3.92101666667,0.0,3.5506328417,6.42583221341,5.23178008507,7.33194745649,8.41217759399,7.4376117697,0.132737871982,5.07589864404,2.52881727647e-06,0.0100552300719,0.003637554124,0.0,0.00278440444163,4.57037094748e-05,0.000183108175406,6.30325619504,8.45903806359,0.0,0.0778467142736,0.75,0.0,6.69810846625,6.35162031009,0.0,0.0128175080899,3.3419617172,0.0,0.0,0.00113905398882,0.00258337416381,137.44247126,0.0,0.0
20,2018-07-16,8.55333195665,0.00438872666564,3.911,0.0,0.0406042365994,0.0175333184961,0.412918797098,0.57580101999,1.28830456085,1.13866116761,0.0034669669767,0.866767099558,2.2185013222e-06,0.0100458017187,0.00353116859333,0.0,0.002855857143,4.50322004326e-05,0.000185370765394,6.82602183521,8.75770654162,0.0,0.082643905298,0.86,0.0,4.00709897498,5.79331631056,0.0,0.0126543163788,2.6285409665,0.0,0.0,0.00129995428085,0.00267850134696,89.2217667921,0.0,0.0
21,2018-07-17,9.07581906232,0.00551675911993,4.13946666667,0.0,0.0341308382831,1.56993467263,0.438926868475,0.610908373917,1.55899650331,1.19840771265,0.0142370790454,0.91484807563,1.54920053319e-06,0.0100545641617,0.00319288787432,0.0,0.00290991744623,2.53069374594e-05,0.000165007455507,7.19603212178,9.1081775378,0.0,0.0809187806954,0.91,0.0,4.39302904453,6.25683250613,0.0,0.0125346320056,2.74045608559,0.0,0.0,0.00116417622246,0.0027819297793,97.6238696304,0.0,0.0
22,2018-07-18,11.5119216672,0.00552219900419,4.3759,0.0,4.66303482782,7.65964176814,5.993131474,9.3352365982,9.55545452201,8.75662373292,0.0498378198754,6.32522334383,1.21455013868e-06,0.00967638162547,0.00357983677532,0.0,0.00276890017267,2.45706323767e-05,0.000149169325596,8.96696829051,8.3520101609,0.0,0.0634557715675,1.26,0.0,8.74450583296,8.54005435697,0.0,0.0122877193935,3.89089984148,0.0,0.0,0.000877336516396,0.00297656440125,159.315236107,0.0,0.0
